id,value,type,threat_type,malware,malware_aliases,first_seen,last_seen,confidence_level,reporter,tags,reference,anonymous
1809440,https://allweathercontractorsltd.co.uk/,url,payload_delivery,win.vidar,['Vidar'],2026-05-09T06:15:03+00:00,,75,m_govcert_ch,"['payload_delivery', 'ClickFix', 'compromised', 'EtherHiding', 'Polygon', 'Vidar', 'WordPress']",,True
1809439,open.openlogmgr.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T06:14:08+00:00,2026-05-09T06:14:50+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809438,envset.vpsgateway.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T06:13:24+00:00,2026-05-09T06:14:01+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809437,logs.openlogmgr.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T06:09:44+00:00,2026-05-09T06:10:32+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809436,doc.vpsgateway.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T06:08:55+00:00,2026-05-09T06:10:38+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809435,net.openlogmgr.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T06:05:29+00:00,2026-05-09T06:05:56+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809434,syncit.bitflowapp.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T06:04:30+00:00,2026-05-09T06:05:19+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809433,mgr.openlogmgr.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T06:00:40+00:00,2026-05-09T06:01:17+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809432,io.bitflowapp.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:59:54+00:00,2026-05-09T06:00:33+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809431,mod.openlogmgr.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:55:45+00:00,2026-05-09T05:57:21+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809430,taskid.bitflowapp.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:55:37+00:00,2026-05-09T05:56:31+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809429,src.openlogmgr.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:51:18+00:00,2026-05-09T05:51:45+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809428,web.bitflowapp.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:51:10+00:00,2026-05-09T05:52:17+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809427,bit.fastbitbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:46:51+00:00,2026-05-09T05:47:00+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809426,refid.bitflowapp.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:45:40+00:00,2026-05-09T05:46:56+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809425,ftp.fastbitbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:41:21+00:00,2026-05-09T05:42:27+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809424,aut.bitflowapp.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:41:14+00:00,2026-05-09T05:41:37+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809423,dom.openapiserv.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:36:45+00:00,2026-05-09T05:36:51+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809422,box.fastbitbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:36:29+00:00,2026-05-09T05:37:01+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809421,m-u88.com,domain,botnet_cc,win.nanocore,"['Nanocore RAT', 'Nancrat', 'NanoCore']",2026-05-09T05:35:33+00:00,,75,abuse_ch,"['botnet_cc', 'nanocore']",https://bazaar.abuse.ch/sample/b3a73f1e60eb11ca697316528c85c214e37b734452e8701619a3c3dd3d35be39/,False
1809420,adm.fastbitbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:31:30+00:00,2026-05-09T05:32:42+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809419,pwrlog.openapiserv.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:31:22+00:00,2026-05-09T05:32:14+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809418,185.170.76.249:443,ip:port,botnet_cc,win.nanocore,"['Nanocore RAT', 'Nancrat', 'NanoCore']",2026-05-09T05:30:04+00:00,,100,abuse_ch,"['botnet_cc', 'NanoCore', 'RAT']",,False
1809417,raw.fastbitbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:26:55+00:00,2026-05-09T05:27:19+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809416,extnet.openapiserv.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:26:48+00:00,2026-05-09T05:27:37+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809415,zip.fastbitbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T05:21:37+00:00,2026-05-09T05:22:02+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
